-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,51,1,2,2,2,2,2,2,2,2,3,4,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,41,52,18,18,18,18,18,53,54,18,55,5,-1,-1,-1,-1,-1,-1
35,48,10,10,11,8,50,6,-1,-1,-1,-1,-1,62,57,-1,50,6,-1,-1,-1,-1,-1,-1
47,52,18,18,75,9,49,22,-1,-1,-1,-1,-1,62,57,-1,61,6,-1,-1,-1,-1,-1,-1
46,6,-1,-1,74,73,72,69,70,70,70,59,64,63,58,59,60,6,-1,-1,-1,-1,-1,-1
45,6,-1,-1,121,120,71,66,67,67,67,65,66,67,67,65,68,7,8,-1,-1,-1,-1,-1
44,76,10,10,77,78,-1,124,64,70,70,59,64,70,70,122,113,112,9,10,10,10,11,12
32,42,43,38,39,79,122,123,126,67,67,65,66,67,125,118,-1,111,110,18,18,18,109,13
-1,41,52,53,81,80,118,62,57,-1,-1,-1,-1,-1,-1,57,-1,117,114,-1,-1,-1,108,14
-1,40,6,121,120,121,120,62,57,-1,-1,-1,-1,-1,-1,57,-1,116,115,-1,-1,-1,108,14
-1,28,76,82,83,84,118,62,57,-1,-1,-1,-1,-1,-1,57,-1,116,115,-1,-1,-1,108,14
35,36,37,38,39,85,119,62,58,70,70,59,64,70,63,57,-1,105,106,10,10,10,107,15
34,87,18,18,72,86,-1,71,66,67,67,65,66,67,67,119,103,104,19,18,18,18,17,16
-1,-1,-1,-1,121,120,124,64,129,132,128,64,122,124,64,59,102,21,20,-1,-1,-1,-1,-1
-1,-1,-1,-1,90,91,92,93,130,131,133,134,118,123,126,65,101,6,-1,-1,-1,-1,-1,-1
33,88,10,10,89,19,30,5,56,62,57,62,57,62,58,59,100,6,-1,-1,-1,-1,-1,-1
32,31,18,18,17,20,29,6,56,62,57,62,57,121,127,65,99,6,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,28,76,10,94,95,94,95,96,97,10,98,22,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,27,26,25,25,25,25,25,25,25,25,24,23,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
